title,description,published date,url,publisher
COVID-19 vaccination – COVID-19 vaccines approved for children aged 5 to 11 years (Aboriginal and Torres Strait ... - Department of Health,COVID-19 vaccination – COVID-19 vaccines approved for children aged 5 to 11 years (Aboriginal and Torres Strait ...  Department of Health,"Mon, 27 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiuQFodHRwczovL3d3dy5oZWFsdGguZ292LmF1L3Jlc291cmNlcy9wdWJsaWNhdGlvbnMvY292aWQtMTktdmFjY2luYXRpb24tY292aWQtMTktdmFjY2luZXMtYXBwcm92ZWQtZm9yLWNoaWxkcmVuLWFnZWQtNS10by0xMS15ZWFycy1hYm9yaWdpbmFsLWFuZC10b3JyZXMtc3RyYWl0LWlzbGFuZGVyLXBlb3BsZT9sYW5ndWFnZT1lbtIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.health.gov.au', 'title': 'Department of Health'}"
"India Holds Covid Readiness Drills, Other Top Stories - NDTV","India Holds Covid Readiness Drills, Other Top Stories  NDTV","Tue, 27 Dec 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiVWh0dHA6Ly93d3cubmR0di5jb20vdmlkZW8vaW5kaWEtaG9sZHMtY292aWQtcmVhZGluZXNzLWRyaWxscy1vdGhlci10b3Atc3Rvcmllcy02NzM2NDfSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'http://www.ndtv.com', 'title': 'NDTV'}"
"Pathfinding Progress: Japan's efforts to keep children safe, in and beyond COVID-19 | End Violence - End Violence Against Children","Pathfinding Progress: Japan's efforts to keep children safe, in and beyond COVID-19 | End Violence  End Violence Against Children","Mon, 15 Aug 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmVuZC12aW9sZW5jZS5vcmcvYXJ0aWNsZXMvcGF0aGZpbmRpbmctcHJvZ3Jlc3MtamFwYW5zLWVmZm9ydHMta2VlcC1jaGlsZHJlbi1zYWZlLWFuZC1iZXlvbmQtY292aWQtMTnSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.end-violence.org', 'title': 'End Violence Against Children'}"
Long COVID research study recruiting patients - UCHealth Today,Long COVID research study recruiting patients  UCHealth Today,"Thu, 08 Sep 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LnVjaGVhbHRoLm9yZy90b2RheS9wYXRpZW50cy1uZWVkZWQtZm9yLWxvbmctY292aWQtcmVzZWFyY2gtc3R1ZHkv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.uchealth.org', 'title': 'UCHealth Today'}"
"Webinar Thursday, May 5, 2022 - Evaluating and Supporting Patients Presenting with Cognitive Symptoms Following ... - CDC Emergency Preparedness","Webinar Thursday, May 5, 2022 - Evaluating and Supporting Patients Presenting with Cognitive Symptoms Following ...  CDC Emergency Preparedness","Thu, 05 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vZW1lcmdlbmN5LmNkYy5nb3YvY29jYS9jYWxscy8yMDIyL2NhbGxpbmZvXzA1MDUyMi5hc3DSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://emergency.cdc.gov', 'title': 'CDC Emergency Preparedness'}"
The End of the COVID-19 Public Health Emergency: Details on Health Coverage and Access - KFF,The End of the COVID-19 Public Health Emergency: Details on Health Coverage and Access  KFF,"Fri, 03 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LmtmZi5vcmcvcG9saWN5LXdhdGNoL3RoZS1lbmQtb2YtdGhlLWNvdmlkLTE5LXB1YmxpYy1oZWFsdGgtZW1lcmdlbmN5LWRldGFpbHMtb24taGVhbHRoLWNvdmVyYWdlLWFuZC1hY2Nlc3Mv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.kff.org', 'title': 'KFF'}"
Covid was a contributing factor in 25% of maternal deaths in 2020 and 2021 - NBC News,Covid was a contributing factor in 25% of maternal deaths in 2020 and 2021  NBC News,"Thu, 20 Oct 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL2hlYWx0aC9oZWFsdGgtbmV3cy9jb3ZpZC1jb250cmlidXRpbmctZmFjdG9yLW1hdGVybmFsLWRlYXRocy1yY25hNTMzMDDSASpodHRwczovL3d3dy5uYmNuZXdzLmNvbS9uZXdzL2FtcC9yY25hNTMzMDA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.nbcnews.com', 'title': 'NBC News'}"
Determinants of people's motivations to approach COVID-19 vaccination centers | Scientific Reports - Nature.com,Determinants of people's motivations to approach COVID-19 vaccination centers | Scientific Reports  Nature.com,"Fri, 31 Mar 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvczQxNTk4LTAyMy0zMDI0NC000gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.nature.com', 'title': 'Nature.com'}"
AHA Facebook Live event on COVID-19 vaccination for children | AHA News - American Hospital Association,AHA Facebook Live event on COVID-19 vaccination for children | AHA News  American Hospital Association,"Mon, 19 Sep 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LmFoYS5vcmcvbmV3cy9oZWFkbGluZS8yMDIyLTA5LTE5LWFoYS1mYWNlYm9vay1saXZlLWV2ZW50LWNvdmlkLTE5LXZhY2NpbmF0aW9uLWNoaWxkcmVu0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.aha.org', 'title': 'American Hospital Association'}"
Senators ask how $28 million in covid money went first to governor's fund and then to baseball project - West Virginia MetroNews,Senators ask how $28 million in covid money went first to governor's fund and then to baseball project  West Virginia MetroNews,"Fri, 03 Feb 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d2bWV0cm9uZXdzLmNvbS8yMDIzLzAyLzAzL3NlbmF0b3JzLWFzay1ob3ctMjgtbWlsbGlvbi1pbi1jb3ZpZC1tb25leS13ZW50LWZpcnN0LXRvLWdvdmVybm9ycy1mdW5kLWFuZC10aGVuLXRvLWJhc2ViYWxsLXByb2plY3Qv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://wvmetronews.com', 'title': 'West Virginia MetroNews'}"
